comment,complaint_cluster
الفرخة صغيرة جدا,كمية_قليلة
الاوردر كان شيش طاووق والصورة شيش على الأسياخ ولما وصل لقيته صدور مشوية منهم اثنين بعظم والباقي مخلي!!!,
الفرخه كان كلها دم ومش مستوايه,
فيه واحد اسمه احمد نبيل قاعد يحط تقييمات كدابه خلي بالكم يجماعه المطعم سئ جدا ولما كلمته ان الفراخ كان فيها مشكله ولا اهتم وعملي بلوك فخلي بالكم علشان متنخدعوش,
محنرم جدا واسلوبه راقي,
الفرخه بدون عظام صغيره جداا وشكلها مجمد حوالي كيلو,كمية_قليلة
الاكل بيجي بارد منصحش حد يطلب منه ولما تواصلت مع المطعم موضحش حاجه خالص ولا عبرني,حرارة_غير_مناسبة
محترم وسريع جدا ووصل العنوان مظبوط بدون الاتصال او التوهان,
تجربه سيئه جدا و الاوردر وصل بعد ساعتين من الطلب,
ممتاز جداً ابوراوية,
السلطات بايتة وطعمها متغير وسيئة والفراخ الشيش كانت رائعة زمان جت المرة دي سيئة جدا وناشفة,طعم_سيئ فساد_الطعام
جالي تسمم من الاكل و تعبت جدا ، حقيقي منكم لله,تسمم_غذائي
الاكل مش نضيف و جالي تسمم منه ، منكم لله,
ليه مش بتوصلوا محرم بك؟! ياريت لو تفتحوا التوصيل لمحرم بك,
كنت طالب نص فرخة الطلب وصللي من غير رز,
الفرخه جايه بارده اوي ومش متبله وطعمها مش حلو خالص,حرارة_غير_مناسبة
مكرونه وحشه جدا ومكوناتها ناقصه منصحش حد يجيب مكرونات من عنده والمشويات اوقات حلوه واوقات تانيه وحشه مش احسن مطعم بصراحه,طلب_غلط
الاكل ناشف جدا جدا واتسخن كذا مره,طعم_سيئ فساد_الطعام
الله يكرمكم,
لم يكن الأفضل,
النظافه الطعم كله سيء,
الكبدة سيئة جدا جدا جدا,
حلو,
الفراخ زفرة جدا بس الباقي كله كويس,
طلبت لوالدتي امبارح من الapplication لأنها ست كبيرة ومريضة برام رز معمر وحمامة. اتصلوا بية خدمة العملاء من الapp قالوا إن ابو راوية بلغهم إنهم حيتأخروا ساعة زيادة. أفاجأ بعد كدة إن والدتي تقولي إن الأكل جي محروق بالكامل ومعرفتش تاكله منه أي حاجة. وهي...,طعم_سيئ حرارة_غير_مناسبة
المكرونة كانت بايظة طعم البولونيز حمضان و بايظ,فساد_الطعام
الاكل بايظ و ريحته صعبه جدا,فساد_الطعام
وحشة وحشة اول مرة تجي كدا باردة جداا و محروقة و ناشفة الفراخ,طعم_سيئ فساد_الطعام حرارة_غير_مناسبة
الكباب سيء و بيشد,
سيء,
انا طالب من الاربعه ع اساس يوصل ع الفطار وصل متاخر و باارد و كمان مالح,طعم_سيئ
اولا الطيار بيتعامل بأسلوب سئ وجاي يقولي انجز استناني لحد ما اجي عشان انا مش هستني انا زيي زيك عايز افطر. دا اولا ثانيا الاكل جاي بارد كأنه طالع من التلاجه ما عدا الملوخيه الي سخنه وطعم الفراخ حقيقي خساره فيه الفلوس,حرارة_غير_مناسبة
الاكل اتاخر جدا المكرونه سيئه و الملوخيه سيئه جدا,
السلطات كلها حمضانه .. عدم امانه فووق الوصف حقيقى كان افضل ما تجيبوهاش من اصله لكن تبعتوا سلطات حمضانه غي احر اوردر قبل رمضان 👎🏻👎🏻👎🏻,
اسوء بطاطس بدوقها بحياتي,
المكرونة النجرسكو فيها طعم غريب الجبنة الي فيها بايظة,فساد_الطعام
الفرخه كانت محروقه,حرارة_غير_مناسبة
طعمها حلو جدا والعيش كافي بس اتمني ان السلطات العلبة تبقا مليانه عن كدا بس حقيقي عاش استمروا علي كدا,طعم_سيئ
الحمام المحشي مقرف اوي الارز اللي جواه,طعم_سيئ نظافة_سيئة
الاكل سيء حسبي الله ونعم الوكيل فيكم الفراخ بايته ومجلده الممبار مجلد وحتى العيش بايت وسيء منكم لله,
السلطه قليله و نقصه كتير,كمية_قليلة
الرز مش مستوي فالممبار و الكمون زياااده و المحشي ورق العنب وحش جدا و السلطات مش حلوه حتي الطحينه,
إدارة مرنة و محترفة . براڤو يا ريس,طعم_سيئ
الفراخ ناشفه مش جوسي و صغيره جدا,فساد_الطعام كمية_قليلة
المكرونه بشعه جدا طعم اللحمه غريب والمحشى حمضان .. حسبنا الله ونعم الوكيل انا عندى بيبى بيرضع عمره شهر فضل ممغص طول الليل 🙌🏻😭,طعم_سيئ تسمم_غذائي
الفراخ المشوية سيئة جداً عن تجربة اكثر من مرة,طعم_سيئ
أسوء حمام اكلته في حياتي,
الفراخ المشوية مش سخنة!!! فيا ترى إتشوت من إمتى!! و ياريت لو حد يقرا الملاحظات!,حرارة_غير_مناسبة
عشان محدش يضحك عليه زيي النجرسكو عندهم غالية فشخ عاملة 60 جنيه وطعمها وحش بطريقة بشعة وحجمها اد كف الايد حرفيا اكلتها واتعشيت بعدها عادي احلي نصب والله منصحش أبدا بالمطعم النصاب ده وربنا ينتقم منهم ميستاهلش 1 حتي,سعر_غالي
الكفتة سيئة جدا علطول بطلب منهم بجد انهاردة بشعة و عبارة عن دهنة و لونها ابيض و طعمها وحش جدا جدا جدا,
اللحمه في الطواجن عجوزه بتمضغ كتير جدا المفروض يتم تسويتها جبدا,
الفراخ وصلت محروقة و المخلل كان بايظ و لما كلمتهم محدش اهتم خالص للعلم دي اول مره تحصل معايا و كان اكلهم ممتاز قبل كده بس انا اتصدمت فيهم المره دي و مش هطلب منهم تاني ابدا,طعم_سيئ فساد_الطعام حرارة_غير_مناسبة
رهيب,
مش بطال بس الاول كان احلي,
وحش جدا والاكل بارد والمكرونة حجمها صغير جدا,حرارة_غير_مناسبة كمية_قليلة
اوردر ممتاز,
الاكل جه بارد كانه طالع من التلاجه وسئ جدااا,حرارة_غير_مناسبة
الاكل زى الزفت ولما اشتكيت للمطعم أتكلم بمنتهى قلة الذوق ورفض تعديل الاوردر مطعم زبالة,
بجد بيرفكت شكلي هطلب بعد كده منكم كتير🫶🏻🤍,
boneless chicken يعنى من غير عضم و مرتين يجى الاوردر غلط و المرة دى كلمت بتاع الدليفرى و سامعه و هو بيأكد عليهم و مفيش فايدة برضو، انتو بتاكلو الناس على مزاجكم يعنى، ده غير الطعم العادى او اقل من العادى. أخر مرة اطلب من المكان الزبالة ده,طعم_سيئ طلب_غلط
تحفة,
الاكل جميل و الديليڤري سئ مكنش راضي يطلع الاكل عشان سلم و اما سألته عن سنه قال ٤٧ و اما ملقاش بديل طلع و اكتشفت انه عيل صغير,كمية_قليلة
رهيب😋😋😋,
رهيب😋😋😋😋,
الشوربه كلها مسكوبه داخل الكيس,تغليف_سيئ
حلو جدا المشويات و الفراخ تتبيلتها جميلة الممبار بس مش ذوقي لكن بشكل عام حلو,
الاكل وحش المكان دا صفر على الشمال جنب بلبع و نفس اسعاره طلبت فرخة مشوية و مكرونة الفريدو فوديتشينى الفراخ : مش مش واخدة حقها عالفحم كأنها معمولة فى المكنة و جت باردة المكرونة : طلبت فيدونشينى جت بينا الصوص ماية و ملوش طعم لو اى محل بيتزا بلدى هيعم...,حرارة_غير_مناسبة
الاكل كله وحش ومش اول مره بس هتكون اخر مره,طعم_سيئ
شغلكم حلو ونظيف ليه بقى لغيتو الفراخ المشوية من المنيو؟؟!!!!!!,
Koko,
تعبان,
اول اوردرين كانوا كويسين جدا تالت اوردر الكفته جت مسلوقه مش مشويه اغرب كفته شوفتها في حياتي الكفته المسلوقه بتاعتكم دي,
من احسن اماكن المشويات في اسكندرية,
مجترم جدا,
روعة,
الانتركوت حادقه جدا جدا وللاسف مأكلناش وخدمه العملاء عندهم سيئه,
الاكل سخن والتغليف رائح لو كانت الفراخ معاه ارز كان هيبقى تحفة,
كمية الكفتة غير كافية ،لكن الطعم حلو,
شكراً جداً على النظافه والطعم الجميل بجد احسن تجربة في عالم المشويات في اسكندريه ❤️,
رهيب😋😋,
🤙🏻,
حلو جداً,
خدمه رائعه جدااااااا وشكرا❤️,
تتبيلة الفراخ كانت وحشه جدا والملح زيادة بطريقه غير منطقية,
1,
الفراخ ملهاش اي طعم ولا ملح ابدا,
الفراخ كانت لسة من جوا بمبي وفيها حتت بدمها. الطرب كان كله دهن والممبار كان ناشف.,فساد_الطعام
على غير العادة طلبت فرحة مخلية مشوية للأسف زفرة جدا ، وريحتها صعبة اوى,
الفراخ المشوية حلوه جداً,
Vg,
حجم الفراخ صغير بيحطوا سلطة بمزاجهم مش زى ما طلبت فى الاوردر,كمية_قليلة
اتصدمت بصراحة الكباب مالوش طعم مش متبل حلو والكمية اقل من ١/٣,
الاوردر موصليش,
الاكل سئ جدا جدا جدا بنتى جالها نزلة معوية بسببه,
اسواء مرة اطلب من ابو راوية وحش جداا جدااا والطعم وحش جداااااا واتأخر جدااااااااا,طعم_سيئ تأخير_طلب
الفراخ محتاجة تستوي احسن من كدة,
تحففففة بس ياريت يتعمل وجبات مشويات مع خضار سوتيه بديل للرز,
الفرخه محروقه واجزاء منها مش موجود,حرارة_غير_مناسبة
ممتاز بس الاكل اتأخر شويه المرة دى,طعم_سيئ تأخير_طلب
اتاخر في الاوردر,
سيئ جدا والاوردر ناقص,طلب_غلط
وحش اوى بجد حقيقى مستواهم بقى غريب يريت الشيف القديم يرجع تانى,فساد_الطعام
الاكل طازه وسخن 👍🏼👍🏼,نظافة_سيئة
النهارده بصراحه الفرخه كانت مش مستويه، بالاضافه ان في حد كلمني مش عارف اذا كان من خدمه العملاء او عامل التوصيل ويكلمني فيما معناه ان السلطه اللي بتيجي مع الطلب تخصنا كامطعم واللي انا بطلبه ده في الاوردر المفروض مايتطلبش، انا مش عارف ايه المشكله في ده,
ممتاز و عندهم ضمير,
الاهتمام بالسلطات بس زي مابيتم كتابتها في الاوردر، شكرا,
الفرخة مش زي اللي في الصورة ومش شيش ولاحاجة,
ممتاز جددا بس لو الدجاج مستوي اكتر,
الطيار محترم جدا جدا جدا وبصراحة التوصيل كان سريع جداً والاكل جالي زي مايكون لسه طالع من المطعم... كفووو منكم,
الفراخ ليست بافضل حال,
😍😍,
العيش بايت...ومش بيشوف الملحوظات علي الاوردر,
الفراخ المشويه حلوه جدا بس المحاشي مش حلوه خالص خالص بجد ولا ورق العنب ولا الفلفل ولا الكوسه الممبار بس اللي حلو مع ان المفروض نفس الخلطه بس بجد طعهم ميتكلش والطحينه والتوميه حلو بس المفروض تجيبو سلطه خضرا مع الاوردر مكنش في بس هو مبدأيا حلو بس المحا...,
مندوب التوصيل وقح وغير محترف ولا يعرف كيفية التعامل مع العملاء,
الكباب البتلو ممتاز و الارز بالخطة حلو بس مفهوش مكسرات غير نصفين لوز فقط و الزبيب ،الفلتو ناشف شوية و غامق ، برام الأرز معجنات، السلطات سيئة جدا,فساد_الطعام تغليف_سيئ
السلطات كانت اسوأ ما يكون الطحينة سيئة و المخلل طعمه حامض,طعم_سيئ
ورقة اللحمة جبتها مرة انبهرت .. التانية زفت لو غيرتوا الشيف انصحكم ترجعوه لانها المرة دي سيئة جدا جدا,طعم_سيئ
كان في طعم غريب ف المكرونه؟,
ورقة لحمة عالمية بصراحة,
عظمة,
الفراخ المشوية تحفة بجد من انضف اماكن المشويات,
الاكل سخن وطازه 👍🏻👍🏻,
الدجاجة بعض اجزائها رائحتها كريهة جدا تصل لرائحة النتن,
برجاء الاخذ في الاعتبار الملحوظه اللي بتكون مع الاوردر,
كل حاجة ممتازة والأكل سخن وجميل,
Tuhfaaa,
السلطة حمضانة و العيش مش طازة,
كميه صغيره جدا جدا ولاتساوي هذا السعر,كمية_قليلة
الفراخ كانت فيها طعم غريب مش عارف ده زعتر ولا ايه بالظبط محلية طعمها وحش جدا و نفطية علي طعم الفراخ و جودتها,
الاكل كان كويس بس سلاطات مش كافيه لفردين حتى والسمبوسك طلبتها ٦ قطع وصلو ٥ بس,
الفرخة مشوية كويس و مستوية و التتبيلة حلوة لكن الاوردفير اللى مع الفرخة مش فى مستوى الوجبة مش مخدوم كويس ... ياريت نهتم به زيادة,
للمره التانيه ماحدش بيأخد باله من السلطات اللي بتكون مطلوبه مع الاوردر برجاء الاهتمام,طعم_سيئ
المشويات حلوه جدا وطازه كالعاده 👍🏻👌🏻 المكرونه البشاميل محتاجه تتحسن كتير,
محترم وراقي و سريع,
انا طالبه فريك جه ارز,
برجاء مراعاه انواع السلطات اللتي يتم طلبها، لأن معظم اللي بيتبعت من السلطات لايأكل، تقبلو تحياتي,طعم_سيئ
الاكل متلج,
اللكل طعمه جميل,
تجربه حلوه من عنده,
الاكل سئ جدا والفراخ مش مستويه كويس والصدر فيه دم وماكده انها تتسوي كويس علي الفحم هي مش علي الفحم اصلا كل حاجه مش حلوة ارفتني في الفراخ تجربه سيئه,
الفراخ طعمها سىء جدااااا رميتها,
خدمه ممتازه جدا وناس محترمين,
طعم سيء وكمية قليلة,كمية_قليلة
السلطات اصبحت سيئة و قليلة,كمية_قليلة
الاكل ناشف والحجم صغير جدا,فساد_الطعام كمية_قليلة
انا طالب فرخة و ٢ ارز وجالى واحد بس,
الفرخه للاسف فيها دم,
ممتاز.......................................,
طازج وممناز,
غير جاهز بعملة صغيرة لأخذ أكرامية اكتر,كمية_قليلة
النجرسكو وحشه جدا والاكل مش زي كل مره,طعم_سيئ
الأكل باااااارد جدا بدرجة وحشة كانه معمول من أمبارح و مجلد و اللحمة سواها مش حلو خالص والصراحة دي أول مرة أجيب من المحل ده اوردر بالوحاشة دي,طعم_سيئ
حاجه خرا,
التأخر في التوصيل,
سيء جدا بعد الفطار بساعه ونصف ومش حلو طعم الاكل,
الاكل سيئ جدااااااا ومفيش اي اهتمام بالاوردر ومفيش صدر ف الفرخه وصغيرة ومش معاها اي حاجه خااااااالص أسوأ تجربة جربتها الصراحة منهم او من غيرهم ومفيش مراعاة اننا صايمين وان ده فطار ل بني آدمين,طعم_سيئ كمية_قليلة
الفراخ كانت ناشفه غير كل مره مش طازه خالص بايته ومتسخنه,طعم_سيئ فساد_الطعام
الفراخ المشوية كانت ناشفة و مش طازه المره دي 😬,طعم_سيئ فساد_الطعام
الاكل موصلش اصلاا وشكراا علي التجربة القذرة دي,نظافة_سيئة
الاكل جاي بعد الفطار بساعة الا عشر دقايق 👎👎👎👎👎,
حسبي اللة و نعم الوكيل طلب سيء جدا لا يمكن تكونوا ناس عندها ضمير و تبعتوا اكل مقرف كدة,طعم_سيئ نظافة_سيئة
الاكل بارد والفراخ مجلده,حرارة_غير_مناسبة
الطعام جيد جداً ووصل في وقته وكميته كافية وطيار المنيوز مهذب وعنده مهنية,
طلبت مكرونه نجرسكو جاتلى رز معمر,طعم_سيئ
الفراخ المشوية تمام,
كان ممتاز,
اكل رديئة وحجم مكرونه صغير جدا مقارنه بسعر,كمية_قليلة
للاسف واول مره الاكل كان سئ جدا .. البطه مش مستويه .. البطاطش والمحشي قليلين .. مكسرات اي كلام .. الشوربه ملهاش طعم بتاتا ..,طعم_سيئ فساد_الطعام كمية_قليلة تغليف_سيئ
الفراخ ضعيفه جدا ومش حلوه خالص,
el bram kan helw bs nashef shwia w msh fresh. el mashweyat msh helwa zy akher mra w yaret yeb2a fe option 1/2 kilo fel app 3shan 1/3 soghayr le etnen,
الباكدج طول عمره بييجي طبق فويل دلوقتي جايلي برام صغير جدا و السلطات علب زبادي مش الطبيعي بتاعهم و دا متوضحليش وانا بطلب الاوردر انا بطلب بقالي سنتين من هنا عمره ما جالي بالسوء دا من المطعم,طعم_سيئ كمية_قليلة
الكفته والكباب كويسين لكن اللحمه المشويه ناشفه جدأ,فساد_الطعام
الاكل مكنش مستوى الفرخه كانت وحشه جدا,
عاااااااااااااااااااش ❤️❤️❤️❤️❤️👌👌👌💪💪💪💪,
طلبت طاجن حوارع كان سئ جدا هبارة عن بواقي كوارع و طلبت كباب حلة بجد لحمه سيئه جدا جدا و الطعم مش كويس بالرغم انى كنت طالبه فته كوارع كانت حلوة اوى بس معرفش المرة ديه الاكل كان في منتهى السوء,طعم_سيئ
البيكاتا طعمها وحش جدًا اللحمة بتشد جدًا مش عارفة اقطعها والمشروم معلب مش فريش ومفيش خضار سوتيه زي ما هما كاتبين,
الفراخ بايته و محروقه و طاجن الرز محروق و طعمه وحش حدا,طعم_سيئ حرارة_غير_مناسبة
الريش كانت بتشد و طعمها وحش اوي و ريحتها وحشة اترمت,
طلبت حمام محشي فريك جالي ارز,
بدون سلطات,
طارجن الفراخ بالبطاطس الفراخ مش مستويه,
للأسف الفرخة سيئة جدا وعبارة عن جلد ناشف,فساد_الطعام
بس عقبال ما بتاخذه من الفيزا سحب وتوافقو ع الطلب بتتاخره اوي,
الحمام ملوش طعم خالص و رز معجن,
الحمام وحش اوي ملوش طعم خالص و الرز معجن,
الفرخة مش مستوية كويس,
الاكل ممتاز جدا وسخن وفيه البركة حتى نقصت الكمية برضو لسه كتير,نظافة_سيئة
الفراخ المشويه سيئه جدا وناشفه وصغيرة ولا ترقي ابدا لمستوي مطعم مشويات,فساد_الطعام كمية_قليلة
طاجن البطاطس بالفراخ مليان فلفل اسود وشطه بطريقه رهيبه لدرجه مضيعه طعمه ومقدرناش ناكله ياريت تقللو الحامي عن كده,
الاكل حلو جدا بس مشكل خضار عباره عن بطاطس مفيش اي نوع من أنواع الخضار بصراحة و الاوردر بيتاخر,
بجد الفراخ المشوية طعمها جميل وطازج عن تجربة وكبيرة بجد مطعم محترم,
البماميه كانت حامضانة,طعم_سيئ
ممتاز بجد,
يعني طعمه معدي بس مش ده مستوي المطعم,
كل مرة بشتري فراخ من المطعم وبتكون حلوة اول مرة تكون زفرك بالطريقة دي صعبة صعبك صعبة ماتتاكلش دي واضح انها ماتنضفتش كويس,طعم_سيئ
وو,
الاكل مش مستوي خالص,
ممتازه,
ممتاز الممبار,
حلو اوووي,
الطلب جة غير الي طلبتة ..طلبت كفتة شامي جالي كفتة سيخ,
الكفتة مش متسوية كويس (كأنها مسلوقة !!) والسلطات حمضانة (كأنها متغرقة ليمون),
بقالي ٥سنين بيجب من ابو راوية كل مره بيبقي اسوء من اللي قبلها وزود السعر والفرخه صغرت والسلطات اي كلام والطعم مفيش,طعم_سيئ
انا مستلمتش الاوردر أسوء برنامج و دفعت فيزا و فلوسى مرجعتليش,طعم_سيئ تسمم_غذائي
كويس,
تأخر التوصيل عن الميعاد وفى الاخر لغوا الاودار من غير يقولوا وكنت عازم ناس على الفطار واحنا صايمين والطيار قالى جايلك وماجأش,
الاكل كان سئ جدا لدرجة أصبت باسهال بسسبه,تسمم_غذائي
المفروض يوصلني 6 وصلني 7 .. ساعة تأخير من و الاوردر خالص من بدري في المطعم و تم استلامه متأخر من المطعم,تأخير_طلب
الطعم سئ جدا و الاكل لا يوجد به اهتمام متسخن و معمول من بدري و الوزن غير المكتوب,
حلو كثير شكرا,
الرز المعمر تحفة وحاجتكم كلها جميلة ربنا يبارك,طعم_سيئ
الفراخ مكانتش مستوية كويس والكمية في السلطات كانت قليلة جدا جدا,كمية_قليلة
كل حلو,
،,
روعة 🥳🥳🥳🥳🥳,
كل حاجة تحفة وطعمها جميل والأكل سخن والدليڤري كان في منتهى الأدب والرقي شكراً ❤️,
طلبت محشي باذنجان جالي مشكل,
ليست ناضجة تماما,
الاوردر ناقص شوربة,طلب_غلط
الفراخ مش مستويه والارز بايت,
اكل ممتاز,
اكل ممتاز توصيل متأخر من المنيوز كالعاده,تأخير_طلب
جودة الامل سيئة جدااا الشوربة مليانه رمل و الدجاج بالشوربة لونه غريب و الكباب اللحمة نية,
طلبت نفس الاوردر مرتين، مرة كان حلو جدا وهايل والمرة التانية الاكل مش طازة وقديم ومش مستوي كويس. ياريت لو يحافظ على مستواه وجودته,طعم_سيئ فساد_الطعام
👍,
وحش,
الفرخة المشوية وصلت قطع صغيرة متكملش فرخة طلب النص فرخة كان اكبر منها شى فى منتهى السوء تجربة مش حتتكرر حقيقى,كمية_قليلة
حضرتك الفرخه جات مش مخليه وحجمها صغير,كمية_قليلة
الاكل تحفه لكن ياريت نهتم بنضافه كراسي الاطفال,
جميل ونظيف,
اكل جميل توصيل متأخر من المنيوز كالعاده,تأخير_طلب
الاكل حلو بس الرز المعمر الملح في كتير اوي,طعم_سيئ
الملح قليل في الاكل,كمية_قليلة
فراخ طازة وصل فى وقت سريع,
أحلي اكل ده ولا ايه🎂🎂🎂🥰🥰💐💐💐🌼🌼🌼🌷🌷🌷🌷🌷🌷🧁🧁🎈🎈🎈🎈,
من ١١ لحد ٢ الاكل موصلش,
لا يوجد ذوق في التعامل من المطعم...,
الاكل اكتر من رائع و سخن و طعمه بيتي و مظبوط و المندوب محترم و وصل ف الميعاد,
اكل محترم توصيل في الميعاد,
الاكل فوق الممتاز بس عامل التوصيل تابع لاطلب قليل الادب ولا يصلح لتوصيل في بيوت الناس,كمية_قليلة
عظمه,
الأفضل دائما... شكرا ابو راويه,
اسؤ مطعم تأخير في الطلب وكمان جالي غلط,تأخير_طلب طلب_غلط
برام الارز باللحمه سئ جدا اللحمه مش مستويه,
بصراحة الشكر واجب ♥🌿👍لاحلى فراخ مشويه من ابوراويه سموحه... العيش طعمه تحفه وكتير و٦ أصناف سلطات. شكرا جزيلا,
جميل,
طعم رائع,
التغليف في ورق و بدون علب ام سيء من مطعم مشهور مثل ابو راويه,
اللحمه كانت نيه جدا و الزعلنى اوى ان المحشى كان ضارب جوه طبق الموزة مش هتعمل معاكو تانى اخر تعامل,
الاكل تحفة جدا,
الاكل تحفة ونظيف جدا ان شاء الله مش اخر مره,طعم_سيئ
مطلوب زياده الملح في الاكل,
تحفه,
احلى وجبه مشويه,
الاكل جاي سخن والفراخ المشوية مستوية و طازة والمحاشي طعم بيتي وسعر مناسب,
اجود انواع اللحوم البلدى اسماك طازجه دائما مطبخ شرقى رائع اشهى انواع السلاطات وحلويات ممتازه شكرا ابوراويه شكرا افضل دلفرى فى مصر,
اسرع دليفيرى مكان هادى جميل جدا خدمة محترمة الاكل طعمه لذيذ جدا واهم حاجة بيوصل سخن,
بصراحه افشل دليفري في العالم,
الاكل كان حلو جدا .. احلي حاجة الطرب فعلا فظيع الكفتة حلوة الريش جميلة بيجي مع الاكل سلطات كتير و عيش كتير االاسعار متوسطة و ده شيء كويس جدا بالنسبة لجودة الاكل,
الفرع نضيف جدا و ال staff كله منتهي الذوق والاكل جميل ???? #سموحه,
الفرايز قليله جدا جدا,كمية_قليلة
الريزو والفرايز والتشيكن كلاسيك طعمهم رائع لكن كمية الفراخ قليله جدا بالنسبه لسعره,كمية_قليلة
طعام غير ساخن,
اللبريديج كان فيه من جوه عجينه,
الوجبة كانت حلوة و طعمها حلو و طازجة بس في حاجه ضايقتني اوي ليه وجبة تلت قطع يبقي فيها قطعتين صغرين و قطة كبيرة فيها دبوس و جناح و حتة صدر ليه ؟!,
ده من اسوء الاوردرات الطلبتها في حياتي اول حاجه الاوردر اتأخر جدا عن الوقت الكان المفروض يوصل فيه و كمان جاي مش حلو خالص اول حاجه في استريبس سبايسي و انا طلبته عادي و متحسهوش اصلا استريبس كان هي قطعه واحده العاديه و الباقي كان عباره عن جلد حراء,تأخير_طلب
جالي قطعه بايظه وريحتها صعبه,فساد_الطعام
ً,
كمية البطاطس بالنسبه سعرها قليله جدا جدا وسندوتش الويوا غير مقبول الطعم بالشيتوس اللي عليه وتم تجاهل ملاحظتى علي عدم وجود طماطم فى التويستر,كمية_قليلة خدمة_سيئة
سئ جدا الفراخ قديمه و متسخنه و لونها غامق جدا و تاني يوم سببت اسهال,فساد_الطعام تسمم_غذائي
الفراخ مزيته اوي والبريديج غامق,
ممتاز,
جه متاخر جدا و بارد,حرارة_غير_مناسبة
الاوردر اتاخر حاجه بسيطه بس المجمل الاكل حلو وسخن بس محتاجين تذودو عيش اكتر,نظافة_سيئة
اسلوب الديليفري مقرف الحقيقه و الأكل بارد و قديم الاوردر كله من كل النواحي مش حلو,طعم_سيئ نظافة_سيئة فساد_الطعام حرارة_غير_مناسبة
الكولسلو بايظه والفراخ مزيته!!,فساد_الطعام
الفراخ قديمه و سيئة جدا جدا لا انصح به ثانيا انه مطعم غير امين علي صحة الناس,فساد_الطعام
حلو بس مفيش كاتشب ولا معلقه,
اولا الاورد كان المفروض يوصل الساعه ٦ ونص وصل متاخر نص ساعه تقريبا او اكتر وكان بارد والديلفري كان واقف تحت البيت بالاوردر بيدخن ومبيطلعش لحد ما اتصلت بيه وقلتله اني شايفاه وانت وصلت ساعتها طلع ف كانت تجربة سيئه جدا اما بالنسبه للمطعم ف الساندويتش ...,حرارة_غير_مناسبة
كان تحفة تحفة تحفة تحفة♥️♥️♥️,
الاكل جميل جدا و وصل قبل المعاد والسعر متوسط,
الكول سلو وحش جدا,
اتاخر قوي,
تجربة من اسوأ ما يمكن. الاوردر اخد ساعتين و وصل بارد و نفس اللي حصل المرة اللي فاتت. بجد مش عايز اتعامل معاكم تاني.,طعم_سيئ حرارة_غير_مناسبة
سئ جدا هذه المرة و الخلطة الكريسبي كلها حاجات سودا و اترمى كله,طعم_سيئ
الفراخ طعمها سيئ ومجلده وكمية الفرايز قليله جدا جدا,كمية_قليلة
الأكل وصل سخن برغم المسافة ♥️♥️ والتتبيلة تحفة,
الفراخ عليها توابل بطاطس وكتير كمان فمكنس الطف حاجه ده غير الخطأ في الحساب,
بجد وجبة تاخد ١٠ من ١٠ ونجمة,
- الاوردر جه متأخر ساعة ونصف بعد الميعاد المتوقع للاستلام (يعني من وقت طلب الاوردر حوالي اكتر من ساعتين) - الاكل جاي بارد جدا و البطاطس مبلول اكنها معمولة من ساعات - الاوردر جه غلط اصلا جه الستريبس سبايسي و كانت مطلوبة عادية مش سبايسي - خدمة سيء جدا,حرارة_غير_مناسبة تأخير_طلب طلب_غلط
معرفش مشكلتهم معايا ايه ديما يجبولي الاكل سبايسي وانا طلباه اوريجينال ده غير الاكل وصلت بعد المعاد اللي الابلكبشن قال انه هيوصل فيه بساعة كاملة,
الاكل جودته سيئ جدا المره دي هطلب دلوقتي ياريت الجوده تكون احسن,طعم_سيئ
انا لسه راجعه من المستشفى بسببكم منكم لله جايبنلى الاكل بايظ يا كفره حسبى الله و نعم الوكيل فيكم الفرخه طعمها زى الزفت و اللحمه لونها بنى و عند العضم ازرق بتاكلونا جيفه ؟منكم لله ربنا ينتقم من إلى عارف أن فى أكل بايظ و حطه الهى يدوقه فى اهله,فساد_الطعام
طلبت واجبة ٣ قطع جابلي صدر و ركبة و جناح و البطاطس قليلة و برده,كمية_قليلة
طلبت الدجاج عادي وجابو حار,
جاب جناحين في الدين بوكس و الساندوتش كان صغير,كمية_قليلة
طلبت الساندوتش بدون اضافه اي صوصات او جبن للأسف اتعمل الساندوتش بإضافة الصوص والخضار والجبن,
أقسم بالله أنا معرفش مطعم أفشل من دِكسيس مش معقول قد إيه الأكل وحش. أنا كنت بطلبه لحد ما بطلت من كتر ما هو معفن وبعدين حد اتواصل معايا وقالي إنهم حسنوا الجودة فطلبت وفعلا كان حلو فرجعت أطلب تاني وكل مرة أوحش من اللي فاتت. عندهم مشكلة مزمنة إن الفراخ ...,طعم_سيئ فساد_الطعام تسمم_غذائي
عدم الانتباه للملاحظات,
طالبه صدرين وجناح جالي دبوسين و ورك تجربة سيئه,
الاكل وصل بارد جدا و العيش بايت و مافيش مناديل ولا كاتشب ولا جوانتي و طعم الأكل مش طازة خااللص,حرارة_غير_مناسبة
اكل سيئ جدا بايت و ناشف,فساد_الطعام
كلو سلو سيئه ومره على الاخر طعمها يقرف فراخ بايته وشاربه زيت,طعم_سيئ نظافة_سيئة
ثاني مرة البطاطس تيجي بردة و قليلة جدا مع اني كلمت خدمة العملة عشان تيجي كويسة الخامات مبقتش زي الاول,طعم_سيئ كمية_قليلة
عيش السندوتشات كان مبلول🤢,
كتبت اني محتاجة 3 قطع حار والباقي عادي اللي وصل كلة عادي مافيش حار,
